query,lat,lon
"Kiszugló, Budapest, Hungary",47.5150279,19.1147634
"Üllői street 107., Budapest, Hungary",47.4708584,19.1138472
"Budapest 9. kerület, Hungary",47.4563368,19.0830046
"Zöldkő street 2., Budapest, Hungary",47.5309913,19.0070801
"Budapest 12. kerület, Hungary",47.4875911,19.0130384
"Budapest 11. kerület, Hungary",47.4706064,19.0631939
"Budapest 2. kerület, Hungary",47.5184135,19.0287884
"Budapest IX. kerület, Balázs Béla utca, Hungary",,
"Balázs Béla utca, Budapest, Hungary",47.4791651,19.0782647
"Budapest 3. kerület, Hungary",47.5611995,19.054608
"Budapest II. district, Pasarét, Hungary",47.5159702,18.9996833
"Budapest II. district, Törökvész út, Hungary",47.5140457,19.0195309
"Budapest XII. district, Kútvölgy, Hungary",47.5102665,18.9837578
"Budapest XIII. district, Angyalföldi út, Hungary",47.5297216,19.0675847
"Illés street 6., Budapest, Hungary",47.4822731,18.9905674
"Budapest XI. district, Fehérvári út 160., Hungary",47.4707978,19.0442538
"Budapest 16. kerület, Hungary",47.5188422,19.0778549
"Pápay István street 7., Budapest, Hungary",47.474514,19.0730582
"Budapest I. district, Attila út, Hungary",47.496186,19.0354429
"Budapest II. district, Bimbó út, Hungary",47.5140573,19.0254015
"Budapest VII. district, Rákóczi út, Hungary",47.4975988,19.0711573
"Budapest XII. district, Széll Kálmán tér, Hungary",47.5076328,19.0216697
"Szobor street 4., Budapest, Hungary",47.5514712,19.0757648
"Budapest VI. district, Bajcsy-Zsilinszky út, Hungary",47.5010922,19.0551395
"Budapest VI. district, Anker köz, Hungary",47.4980823,19.0550881
"Budapest XIII. district, Pozsonyi út, Hungary",47.5153918,19.049402
"Budapest VI. district, Andrássy út, Hungary",47.5084561,19.0686938
"Budapest IX. district, Lechner Ödön fasor, Hungary",47.4753963,19.0690028
"Vármegye street 7., Budapest, Hungary",47.4945992,19.0575841
"Budapest XII. district, Böszörményi út, Hungary",47.4927083,19.0162906
"Alíz street 6., Budapest, Hungary",47.4593199,19.0484551
"Cserhalom street 7., Budapest, Hungary",47.5449752,19.0684765
"Budapest VI. district, Podmaniczky street 65., Hungary",,
"Podmaniczky street 65., Budapest, Hungary",,
"Budapest XII. district, Széchenyihegy, Hungary",,
"Budapest, District XIII, Lehel Street 27., Hungary",,
"Lehel Street 27., Budapest, Hungary",,
"Budapest III. district, Vályog street, Hungary",,
"Vályog street, Budapest, Hungary",,
"Budapest VII. district, Dob street, Hungary",,
"Dob street, Budapest, Hungary",,
"Budapest, District XIV, Uzsoki Street, Hungary",,
