price_huf,floor_area_m2,rooms,district,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin,lat,lon,distance_to_center_km_real,dist_to_metro_km,dist_to_danube_km,is_inner_ring
260000,41,1.5,14,11,12,0,novel,0,3,0,20.5,0,0,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
240000,46,1.5,14,0,12,0,renovated,0,10,1,,1,1,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
230000,33,1.5,9,5,12,,novel,3,6,1,,1,1,47.4756872,19.0785096,3.010656872,0.843044721,1.196220225,1
380000,73,3,2,0,12,,novel,1,2,0,20.5,1,0,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
420000,76,2,9,0,12,,renovated,1,,1,,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
360000,45,1.5,5,0,6,1,renovated,2,2,1,,1,0,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
490000,80,3,2,20,12,,renovated,1,4,1,,1,0,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
300000,80,3,7,0,12,0,renovated,3,3,1,,1,0,47.4961024,19.0608682,0.44339207,0.158212628,0.809211055,1
897000,122,3,5,9,12,0,renovated,4,4,1,,1,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
220000,43,1.5,14,2,12,,unknown,3,4,1,,1,0,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
220000,28,1,1,1,6,0,renovated,4,6,1,,1,1,47.5047378,19.0387733,1.475081014,0.248762036,0.749078268,0
220000,52,1.5,8,6,12,,in good condition,3,5,1,,0,1,47.4932731,19.0737188,1.455221018,0.145419876,1.452749995,1
690000,92,4,14,0,12,,new,1,8,0,2,1,1,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
500000,96,4,3,17,12,,novel,1,,1,,1,0,47.5611995,19.054608,7.038977302,1.947220491,4.710579519,0
230000,32,1,9,2,12,0,new,4,9,0,2,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
624000,114,6,6,0,12,,renovated,2,3,1,,0,0,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
250000,36,1,12,3,12,0,novel,4,6,0,20.5,1,1,47.4946328,19.026215,2.237316017,0.705794616,1.88390328,0
210000,38,1,13,0,12,0,in good condition,4,5,1,,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
741000,123,4,2,4,12,,renovated,2,,1,,0,1,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
269000,42,2,9,4,12,0,novel,4,6,0,20.5,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
330000,44,2,8,5,12,0,novel,4,9,0,15,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
320000,44,2,6,0,3,0,renovated,4,6,0,11,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
370000,53,1.5,5,0,12,1,renovated,3,5,1,,1,1,47.4483164,18.9772201,8.06864024,3.685135605,7.026009879,1
240000,50,1.5,5,1,12,1,renovated,5,5,1,,0,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
1560000,150,4,2,16,12,,unknown,2,,1,,1,1,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
975000,165,6,6,6,12,,renovated,2,,1,,1,0,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
320000,61,2,6,1,12,0,novel,4,6,0,20.5,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
402500,70,3,13,0,12,0,new,4,7,0,4,0,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
490000,70,3,8,0,12,0,novel,4,9,0,20.5,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
